title,imdb_id,release_year_movie,movie_rating,duration_movie,average_star_rating_movie,vote_count_movie,review_text,book_authors,average_rating_book,num_pages_book,ratings_count_book,publication_date_book,publisher_book
Love in the Time of Cholera,tt0484740,2007,R,2h 19m,6.4,25000,"Quick, before the general release on Friday change the silent movie line back to &quot;My God, this is longer than sorrow&quot;. What did she mumble instead, was it &quot;interminable&quot;? Why was that wonderful line changed?I so loved the book, I cannot get an unbiased grip on the movie. My mind elaborated it favorably but with simultaneous disappointment over deviations like the &quot;sorrow&quot; line. &quot;Forever&quot; worked better in the book as the boat was ordered to return upstream. I do wish it had closed with the &quot;ripple&quot; video that is on the internet.The film touched too many threads while missing the book&#39;s soul, like trying to read Fermina&#39;s heart on her tongue. Maybe it isn&#39;t possible for a movie to do justice to any masterpiece but Florentino&#39;s long-standing relationships with the widows are as important as the &quot;body count&quot;. Young Fermina was too old, as was America. I would have cast a 15-year-old as the young Fermina and have had her reappear as America with died hair or similar artifice. I cannot forgive the script for ignoring the perversion and her suicide. I would have rather America had been entirely written out.Bardem was the perfect Florentino. Fernanda Montenegro and Hector Elizondo gave terrific performances. Marcela Mar is such a heart-throb I nearly forgive her for being twice her age. Cartagena was underplayed. The Shakira soundtrack was ideal.I&#39;ll reluctantly recommend the movie but won&#39;t shake peoples&#39; shoulders as I do when I tell them that they must read the book.",Gabriel García Márquez/Edith Grossman,3.91,348,324487,10/5/03,Vintage International
Carrie,tt0319970,2002,Not Rated,2h 12m,5.4,12000,"It seems to make as much sense to remake a great movie like Brian DePalma&#39;s 1976 horror/suspense masterpiece CARRIE for television as it did to make a sequel of it in the form of THE RAGE: CARRIE 2 three years before, but that&#39;s what has been done.  A lot of bells and whistles have been added to this television remake, but in the end this CARRIE is still in the shadow of the DePalma original.Angela Bettis (GIRL INTERRUPTED) has the unenviable task of stepping into the shoes (and the prom dress) of Sissy Spacek in the title role of a New England teen tortured at school by cruel classmates (because she doesn&#39;t belong) and at home by her religiously fanatical mother (Patricia Clarkson, in the Piper Laurie role).  Soon, she discovers she has telekinetic powers; and when the most gruesome of gags is played on her on prom night, all bets are off.Though looking much more glazed in the eyes than Spacek ever did, Bettis gives a fairly good performance as Carrie; and Clarkson&#39;s portrayal of her uprighteous mother is much more low-key, but no less threatening, than Laurie&#39;s portrayal.  The special effects, however obvious they might be, are also quite good.  But in the end, the reputation of the 1976 original, with its combination of psychological horror and teen-angst drama, still hovers over this remake.  Nowhere is this more apparent than in the pig&#39;s blood scene.  It doesn&#39;t have the same jarring emotional impact this time around--not so much because we&#39;ve seen it before, but because here it looks slightly laughable when the blood gets poured onto Bettis.  Because of DePalma&#39;s use of slow-motion in the original, the blood hits Spacek like a tidal wave.I give the CARRIE remake a &#39;6&#39; just for trying.  I only regret that its shortcomings as a film have less to do with its execution as a film than the fact that the original movie still resonates much more fully.",Stephen King,3.96,253,2707,10/1/99,Pocket Books
Gone with the Wind,tt0031381,1939,G,3h 58m,8.2,346000,"I&#39;ve seen the film many times, have always enjoyed it. But I&#39;ve been reading the book for the first time. It&#39;s a very long novel, and you have to stay with it if you want to see the ending. It&#39;s a good read, but Margaret Mitchell, former newspaper reporter, is very thorough in her description of both Southern culture and the changes that the Civil War brought to it. It&#39;s the size of the book that was the biggest challenge for David O Selznick. Not what parts to film, but which parts to leave out. So many characters that appeared in the book couldn&#39;t be introduced in the movie without extending the film&#39;s length to well over four hours. So he had Sidney Howard write the screenplay, then cut that down to a filmable length by hiring several more writers to further pare the script, and was still rewriting it himself while it was being filmed. Selznick was close to running out of money, so he asked his angel, millionaire Jock Whitney, to loan him enough to finish the film. The film was finally completed and edited, then was test-marketed at a theatre not far from LA. The viewers were excited about having seen it and said so on their preview cards, which allowed Selznick to rest easy, knowing he had a hit on his hands.",Margaret Mitchell,4.29,1037,999139,4/1/99,Warner Books
Oliver Twist,tt0380599,2005,PG-13,2h 10m,6.8,35000,"Polanski is the kid of guy who likes to dance on the edge. A mixture of clown, genius and artist who has suffered personal tragedy and humiliation but one who keeps cranking amazing films. This Oliver Twist is no exception. Polanski has reworked the story and taken out the 19th century coincidences, e.g., the highly improbable fact that Oliver is Brownlow&#39;s grandson and the business with the portrait of Oliver&#39;s mother, given the old tale a fresh coat of paint with new amazing character actors such as Leanne Rowe, a young and thoroughly charming Nancy, Henry Eden, a scamp of a Dodger, Jamie Forman, a repulsive Bill Sykes with no redeeming features whatsoever and the veteran Edward Hardwicke as Brownlow. But, it&#39;s young Barney Clark who steals the show. In past versions, Oliver is merely a device upon which the other array of characters are hung. We&#39;ll all remember Sir Alec Guinness, Richard Dreyfus and Ron Moody&#39;s Fagin, Oliver Reed and Robert Newton&#39;s Bill Syke, Elijah Wood, Anthony Newley and Jack Wild&#39;s Dodger but who were the Olivers? We will remember young Master Barney Clark in this marvelous, intriguing and eye-pleasing Oliver.",Charles Dickens,3.86,368,2077,12/30/02,Dover Publications
Fight Club,tt0137523,1999,R,2h 19m,8.8,2500000,"Fight Club does exactly what movies should do, blow our minds, make us ask questions of ourselves and our society, and all the while thoroughly entertain us. Edward Norton and Brad Pitt are at their very best.",Chuck Palahniuk,4.19,218,388782,10/17/05,W.W. Norton & Company (NYC)
A Beautiful Mind,tt0268978,2001,PG-13,2h 15m,8.2,1000000,"A Beautiful Mind
Director Ron Howard has experience in playing with his audience&#39;s heartstrings. Remember in Apollo 13, when the fate of the astronauts was uncertain? (Ok, so if you remember your recent history, you knew.... but still!) Or remember in Parenthood, when Steve Martin&#39;s kid was about to make the crucial catch? Ol Opie can still pluck those strings with the best of them. (And you know, he&#39;ll never stop being called Opie, even by those of us who never saw The Andy Griffith Show during its initial run.) And plucking heartstrings is not a bad thing at all, not when you can do it in such a sincere, noncloying way as the masterful Beautiful Mind presents to its viewers.John Nash is a mathematics prodigy who has a decided knack at solving previously unsolvable problems. He&#39;s socially dysfunctional, rarely looking anyone in the eye, but pours all of his energy - and soul - into producing one original idea, an idea that will distinguish him from all of the other mathemathical minds at Princeton University.But John, like most who have had movies made about them, had his ups and downs. He meets and falls for a beautiful student of his named Alicia (Jennifer Connelly), and they produce a baby. But John also suffers from tremendous delusions and is diagnosed with a form of schizophrenia. Schizophrenia&#39;s a tough disease, folks - it&#39;s still not fully understood, and Nash was diagnosed with it in the middle of last century. He spends time in a sanitarium, as doctors struggle to find a cure.Russell Crowe is absolutely powerful as the confused and confusing Nash. Although the marquee says &quot;Russell Crowe&quot;, you&#39;ll immediately forget this is the hunky guy from Gladiator. I mean after all, he&#39;s playing some nerdy scientist dude! But Crowe completely disappears in the role, and he&#39;s unforgettable. Actors kill for roles like this one, because it gives them a chance to show off their acting chops. For many actors, this is the kiss of death, because then they&#39;re exposed as poor thespians. But not for Crowe; if anything, this proves once and for all that he&#39;s a grand master of acting. I realize that sounds like overkill for him, but I think that when actors are labeled as a &quot;hunk&quot; - their skills as actors aren&#39;t seen as very substantial. Hey, looking darn good worked against Tom Selleck, and to a degree it has worked against Crowe as well.And he ages well, too. The movie takes place over a fairly extended period of time, ending with Nash&#39;s acceptance of the Nobel Prize in 1994. The makeup on Nash is neither garish nor schmaltzy; he looks completely genuine. And that&#39;s the essence of Crowe&#39;s performance. It&#39;s sincere, never trying to win over the audience with a sly wink here or a toss of the hair there. Crowe shows remarkable poise, elegance, and is utterly astounding in the role.His supporting cast is more than able. Jennifer Connelly is better than I thought she would be; in most roles, she&#39;s the eye candy. But this role had meat to it, and she held her own. It wasn&#39;t an easy role to play, and she pulled it off. And her scenes with Crowe do have that movie magic that each of us looks for when we go to movies, that one moment, that compatible chemistry that leaves audiences mesmerized.And yes, this does have some very, very touching moments. The final scene, while predictable (even if you don&#39;t know the outcome in real life), will bring more than one tear to the eye. Yes, I&#39;ll admit it, it got me right here. But it&#39;s okay; I did that old &#39;guy-crying-in-movie-theater&#39; trick. If you feel the brime falling from the lid, you make a motion toward your cheek and then you scratch vigorously; people might think you have a skin infection and move away slowly, but at least they won&#39;t think you&#39;re a girly man.At any rate, it&#39;s certainly one of the best movies of the year. Everything&#39;s in place: the direction, the photography, and especially the acting.",Sylvia Nasar,4.13,461,115201,2/4/02,Faber  Faber
The Name of the Rose,tt0091605,1986,R,2h 10m,7.7,123000,"A murder mystery set in a monastery in the late middle ages, at a time when the Franciscan order and the Holy Inquisition were at odds, mostly over the extravagances of the Papacy, is a dark and moody film, which matches the period of the story well. Once again Sean Connery takes a difficult role and makes it uniquely his. Fifteen year old Christian Slater is seen in his breakout role. But the real star of the film is the library of the monastery, a labyrinthine building that is many floors high and created with stairways that seem to always lead away from where you want to go. I found the book, frankly tedious. Umberto Eco writes in a style that is very pedantic at times, and just plain confusing at others. But the story translated well to the screen, but you must be willing to exhaust a little brain sweat to get anything out of the story. Be well rested before you watch this one.",Umberto Eco,4.12,560,1338,9/26/06,Everyman's Library
The Mist,tt0884328,2007,R,2h 6m,7.1,358000,"If, two years ago, you told me that within a couple of years two excellent Stephen King film adaptations would be released, I would probably have laughed it off. Films like The Shining, Shawshank Redemption, Stand by Me, The Stand and 1408 are usually pretty far between (Note that I consider The Green Mile and Carrie to be the most over-rated King adaptations, so they do not appear here). I like most of the films that have been made from Stephen King novels, novellas, and short stories mainly because I like Stephen King, but I do not recommend many of them as truly good films.Frank Darabont&#39;s (writing and directing) The Mist adapts a horror novella of the same name. King&#39;s horror work has been the most difficult material to adapt, but this film is comparable to other genre stand-outs such as The Shining and 1408.A brief, dramatic thunderstorm is followed by a freak mist that descends on a small New England town. As the mist permeates the town, people congregate in the local supermarket and hardware store to stock up and gather supplies. David Drayton (Thomas Jane), his son (Nathan Gamble), and his neighbor (Andre Braugher) are among them. Tension builds as a steady stream of military vehicles pass through the mist headed south from a nearby base. But serious concern doesn&#39;t start until one of the locals runs to the supermarket with blood spatters on his clothing and talking of monsters in the mist.Indeed, there are horrors outside in the fog, but there are also horrors inside the market - as paranoia, irrationality and religion come into conflict with practical issues of survival.Unlike many horror films, The Mist examines fear and its effects realistically, looks at the horror created by forces beyond human control and the even more terrifying horror that fear creates through forces that are completely within our grasp - our own fears, our beliefs and our treatment of each other. It does so using a classic formula which is comparable to films like Night of the Living Dead and, more recently, Feast.The cinematography, editing and directing are all excellent. The acting is quite good - Marcia Gay Harden and William Sadler stood out for me - and the script is exactly where it needed to be for this adaptation.Highly recommended for King fans and horror fans. Recommended for Sci-Fi fans. Weakly recommended for average cinema-goers who are not generally interested in horror.",Stephen King/ZBS Foundation,3.95,2,168,9/1/93,Simon & Schuster Audio
Trainspotting,tt0117951,1996,R,1h 33m,8.1,749000,"I&#39;m an old guy. I&#39;m also a movie fan with an open mind. This is one of those films that is often referred to by critics as being very important. When I read the description of it, my first reactions was to totally avoid it. But it has in it some really great actors and I&#39;ve been taken with the guy from Elementary. Well, was I surprised. While it was hard to watch as these young men dropped into the depths of addiction, I began to be fascinated by them. They were individuals who had aspirations and lives; they were good and bad. But were continually brought down by their mistakes. Those who say this glorifies drugs have totally missed the point.",Irvine Welsh,4.09,340,533,10/17/02,W. W. Norton  Company
Cold Mountain,tt0159365,2003,R,2h 34m,7.2,160000,"&#39;War movie&#39; is a Hollywood genre that has been done and redone so many times that clichéd dialogue, rehashed plot and over-the-top action sequences seem unavoidable for any conflict dealing with large-scale combat. Once in a while, however, a war movie comes along that goes against the grain and brings a truly original and compelling story to life on the silver screen. The Civil War-era &quot;Cold Mountain,&quot; starring Jude Law, Nicole Kidman and Renée Zellweger is such a film.Then again, calling Cold Mountain&quot; a war movie is not entirely accurate. True enough, the film opens with a (quite literally) quick-and-dirty battle sequence that puts &quot;Glory&quot; director Edward Zwick shame. However, &quot;Cold Mountain&quot; is not so much about the Civil War itself as it is about the period and the people of the times. The story centers around disgruntled Confederate soldier Inman, played by Jude Law, who becomes disgusted with the gruesome war and homesick for the beautiful hamlet of Cold Mountain, North Carolina and the equally beautiful southern belle he left behind, Ada Monroe, played by Nicole Kidman. At first glance, this setup appears formulaic as the romantic interest back home gives the audience enough sympathy to root for the reluctant soldier&#39;s tribulations on the battlefield. Indeed, the earlier segments of the film are relatively unimpressive and even somewhat contrived.&quot;Cold Mountain&quot; soon takes a drastic turn, though, as the intrepid hero Inman turns out to be a deserter (incidentally saving the audience from the potentially confusing scenario of wanting to root for the Confederates) and begins a long odyssey homeward. Meanwhile, back at the farm, Ada&#39;s cultured ways prove of little use in the fields; soon she is transformed into something of a wilderbeast. Coming to Ada&#39;s rescue is the course, tough-as-nails Ruby Thewes, played by Renée Zellweger, who helps Ada put the farm back together and, perhaps more importantly, cope with the loneliness and isolation the war seems to have brought upon Ada.Within these two settings, a vivid, compelling and, at times, very disturbing portrait of the war-torn South unfolds. The characters with whom Inman and Ada interact are surprisingly complex, enhanced by wonderful performances of Brendan Gleeson as Ruby&#39;s deadbeat father, Ray Winstone as an unrepentant southern &quot;lawman,&quot; and Natalie Portman as a deeply troubled and isolated young mother. All have been greatly affected and changed by &quot;the war of Northern aggression,&quot; mostly for the worse. The dark, pervading anti-war message, accented by an effective, haunting score and chillingly beautiful shots of Virginia and North Carolina, is communicated to the audience not so much by gruesome battle scenes as by the scarred land and traumatized people for which the war was fought. Though the weapons and tactics of war itself have changed much in the past century, it&#39;s hellish effect on the land is timelessly relevant.Director Anthony Minghella manages to maintain this gloomy mood for most of the film, but the atmosphere is unfortunately denigrated by a rather tepid climax that does little justice to the wonderfully formed characters. The love story between Inman and Ada is awkwardly tacked onto the beginning and end of the film, though the inherently distant, abstracted and even absurd nature of their relationship in a way fits the dismal nature of the rest of the plot.Make no mistake, &quot;Cold Mountain&quot; has neither the traits of a feel-good romance nor an inspiring war drama. It is a unique vision of an era that is sure not only to entertain but also to truly absorb the audience into the lives of a people torn apart by a war and entirely desperate to be rid of its terrible repercussions altogether.",Charles Frazier,3.86,356,208001,9/1/06,Grove Press
Lord of the Flies,tt0100054,1990,R,1h 30m,6.4,35000,"I&#39;ve read the book so many times and after seeing the first 1963 adaptation of the movie I admit I was a little let down. I was surprised they didn&#39;t put in the Simon scene (which is probably one of the most important scenes in the book) and a lot of other important things they missed out on. But then, once I found out there was another version of the movie I quickly rented it. But let me tell you something; This is movie is much worse than the first one, and does an awful job of telling the storyline. Although the boys were very adorable (I&#39;ll admit that)that still didn&#39;t make up for the bad acting job they did. Plus, I was really confused on why the director chose to make a nonexistent captain the most important symbol in the book. Why he did that is beyond me. So anyways, my point is, if your looking for a good movie based on the book, you should probably just stick to the first one, and don&#39;t waste your money on renting/buying this movie.",William Golding,3.68,6,408,10/11/05,Listening Library (Audio)
Blade Runner,tt0083658,1982,R,1h 57m,8.1,853000,"In the future year of 2019, a group of four replicas arrive on Earth in search of their creator, Blade Runner Rick Deckard is persuaded into hunting them down.Love it or hate it, one thing that can&#39;t be questioned, is the amount of movies that this film inspired. Blade Runner was a ground breaking movie, one that was way ahead of its time.Blade Runner is up there with Dune for me as one of the greatest movies to come out of the 80&#39;s, I would definitely deem it as a classic, it&#39;s so watchable.The best element for me, the visuals, this is one the truly exquisite looking film, consider the era it was made in, and the lack of sophisticated special effects and tech, this is a triumph of creativity.I know pacing is an issue for some, and storytelling has changed with time, but the pace here is very deliberate, it develops and builds, it&#39;s there to give you a sense of unease. Don&#39;t expect action at every turn, that&#39;s not the purpose of the film.The music of Vangelis is terrific throughout, it adds to the film, and never imposes or tries to overtake.I always love seeing someone&#39;s vision of the future, and the future world is wonderfully imaginative and perfectly realised, though still wonderfully 1980&#39;s, so there&#39;s plenty of punk and glam, big hair, clear plastic jackets and eye shadow galore. One thing that was spot on, a greater coming together of cultures.A recent news article about AI made me think of this film, scientists are warning about the threat posed by AI development, after watching this film again, I can see where they&#39;re coming from.Harrison Ford is great, perfectly cast as Deckard, another of his iconic roles. Rutger Hauer also manages to captivate and terrify.This is a classic, quality movie.9/10.",Philip K. Dick,4.08,216,49,7/12/87,Del Rey
The Pelican Brief,tt0107798,1993,PG-13,2h 21m,6.6,100000,Love it. It&#39;s an enjoyable story and Julia &amp; Denzel are a deligt to see.,John Grisham,4.0,400,340714,4/25/06,Delta
The Firm,tt0106918,1993,R,2h 34m,6.9,154000,"In this excitingly convoluted genre piece by Sydney Pollack---who blossomed into a straightforwardly commercial director who was happily a part of the commercial mainstream, unlike such surviving contemporaries as Sidney Lumet and Woody Allen---Tom Cruise plays Mitch McDeere, a poor boy who is embarrassed by his meager roots now that he has graduated from Harvard Law fifth in his class. He gets offers from the top law firms in New York and Chicago, yet ultimately opts for a smaller firm stationed in Memphis. His choice is money-minded. He regards money as peace of mind, however later in the film he is less certain than he&#39;s ever been of how flush he&#39;d need to have to be truly at peace.Some movies about the law reduce the judiciary elements to the rank of incidental. This one squeezes them for all they&#39;re worth. Without betraying too much of the story, I can say that McDeere is soon enough being blackmailed by both the FBI and the firm&#39;s security chief, grizzled and mild Wilford Brimley, quite compelling in an unusual jaunt as a bad guy. To protect himself, Mitch has to exercise both mind and body, eluding hit men and outwitting lawyers, to save both his life and his license to practice law.Drawn from the novel by John Grisham, as adapted by three of the most high-priced screenwriters at the time, this star-studded suspense melodrama takes an admirable two and a half hours to work its way through a hair-splitting ethical hodgepodge. By the finale, regardless of McDeere&#39;s gasping expounding during phone calls in the middle of a chase sequence, his plan of action is bewildering. And then there is the one character who never saw two particular killers when she witnessed another character&#39;s death because she was totally enclosed and hidden, which is how she survived, but in a later scene with Mitch, she says she saw the killers and details what they looked like, even the color of one&#39;s eyes, the one actually being an albino. However, it doesn&#39;t seem as far-fetched as it would were the style of the movie not as competent even when the fine points were bleary.Sydney Pollack, usually a solid director of easy-going entertainment, liked to make big, demanding movies and he was secure working with huge stars. Whether or not that colors his movies with a sugar-coated worthiness, he utilized them as abbreviated exposition. Case in point: One glance at Hal Holbrook as the top dog of the Firm and we sense it&#39;s a suspicious organization. Holbrook almost always plays the ostensibly dignified man with skeletons in his closet. One look at Gene Hackman, as the law partner who becomes Cruise&#39;s coach, and we know he&#39;s an incredibly faulty yet essentially not such a bad man, as he always is. One look at Cruise and we get a complacent feeling, because he is, in lots of his roles, just a little slow to figure things out. His characters appear to trust people too readily, and so it seems authentic when he accepts the Firm&#39;s song and dance and inducements.The movie is practically a compilation of great small character performances. Ed Harris, menacing with a shaved head, mainly requires little more than a couple of concise appearances to persuasively disclose the FBI&#39;s case against the Firm, and to divulge its airy readiness to force a potential witness to undergo impossible duress. Another potent performance is by David Strathairn, as the brother McDeere hasn&#39;t told the Firm about. Strathairn has arisen as one of the most commanding character actors around. There are also rich performances by Gary Busey, as an articulate private eye, and especially by Holly Hunter, as his allegiant secretary. Actually, watching this high falutin&#39; legal thriller, it hit me that law firms have to some extent usurped Army platoons as Hollywood&#39;s most enjoyed universal human setting. The new law thrillers have the same components as those reliable old World War II action films: Assorted cultural and character archetypes who battle each other when they&#39;re not battling the enemy. The law movies have one formidable leg-up: the female characters engage equally in the fray, rather than simply cooking, cleaning and writing letters.The vast peanut gallery of characters makes The Firm into a persuasive Hollywood landscape. There are enough convincing people here to give McDeere a genuine environment to inhabit. And Pollack was forbearing inwith some ways with his material. He would allow a scene to go on until the point was made somewhat more acutely. That would let an actor like Hackman be stunningly compelling in scenes where he delicately authenticates that, in spite of everything, he has a decent soul. A sensitive scene near the climax between Hackman and Tripplehorn is like an advanced course in acting. The parts of The Firm seem better than the whole. And there are some great parts.",Robin Waterfield/John Grisham,4.01,76,540910,2/15/00,Addison Wesley Publishing Company
The Client,tt0109446,1994,PG-13,1h 59m,6.7,77000,"Susan Sarandon should stick with the tough minded lawyer more often. Perfectly cast in the role of Reggie Love, she brings a certain charm to a role which could have lacked in that department. And to make matters even tougher on her, she was almost outshined by Brad Renfro, who made quite an impression in a film such as this. While the film was put together in a rather conventional way, with Tommy Lee Jones playing an over clichéd character, the film is still rather gripping. A decent film to have in your collection, and one of the better John Grisham book-turned-movie adaptations.",John Grisham,4.0,483,367399,3/16/10,Delta
A Painted House,tt0362001,2003,PG,1h 37m,6.4,1200,"Maybe sometimes, we forget, with our plush life and current definition of &quot;poverty&quot;, what things were like for rural &quot;working poor&quot; even as recently as the 50&#39;s. Survival, even for a man who owned the land, took a different strength of character. Is it good, or is it regretful those times have passed? More money yes, but were better times up North in the auto plants? I suppose, but this is nostalgia, and not bad either.It was a good family movie, narrated like the Waltons, I kept waiting for &quot;goodnight Luke-boy&quot;. Yah, Little House on the Prairie too, a bit more reality, but did other commenters really expect this to be as complete as the book, any book? Personally, I&#39;m tired of hearing book-readers whine about &quot;what they left out&quot;. Don&#39;t watch movies if you read the book. This is certainly wandering reminiscences, but that&#39;s another type of literature too, isn&#39;t it? Why does every story have to be going somewhere special? To me it&#39;s a pretty good coming of age movie and worth the hour and a half at least, and always a pleasure watching Scott Glenn, when he gets good parts.",John Grisham,3.7,384,67857,2/3/04,Bantam
The Rainmaker,tt0119978,1997,PG-13,2h 15m,7.2,86000,"A story about an aspiring young lawyer who tries to break down an insurance company, Matt Damon plays Rudy Baylor, a Memphis St. Law School graduate who can&#39;t seem to find a job anywhere, until he meets &quot;Bruiser&quot; Stone (Mickey Rourke). Stone is an ambulance chaser, who does whatever it takes, legal or not, to win a case. Rudy, as most law students are when they graduate, wants to take the high road, do everything by the book, and win. What he finds is that sometimes you need to get down and dirty to help your client. In this case, his client is a young boy, dying of leukemia. Seems the insurance company won&#39;t pay for a bone marrow transplant that would save his life. Rudy sets out to help the young man and his family, in what turns out to be one of the biggest cases Tennessee has ever seen. Along with his partner Deck Shifflet (Danny DeVito), Rudy sets out to try and prove to the world that the insurance company is nothing more than a big time scam artist. Along the way Rudy meets (and falls in love with) a young woman (Clare Danes) who gets beat up regularly by her husband. This part of the story seemed somewhat strange to me. I couldn&#39;t figure out what it was there to do. Was it to give Rudy a love interest? Was it just to give the movie another case so the entire film wasn&#39;t centered on the insurance trial? I feel it gave the movie some heart, and showed that Rudy would fight for what he believed in, both in court and in life. But I think the movie could have been done without it. I enjoyed the trial scenes and all the grunt work that went behind it (being a future lawyer myself (I hope)). And the cast was wonderful. Each person added a little more to the movie, and each gave a great performance. Danny Glover as the (2nd) judge gave a little humor to the movie, but also made you feel good about Rudy&#39;s chances in court. He was going to play fair, but hew as also going to give Rudy the benefit of the doubt. Jon Voight played the insurance company&#39;s lead lawyer, and he played his character to it&#39;s swarmy best. He is what people think lawyers are like, out only for money; win at all costs, no soul (I know attorneys like that). And he was convincing. And of course DeVito and Damon carried the film. I had my doubts about Damon playing a lawyer, but the more I watched, the more I realized that he looked like people I see at work everyday. He had the same fear in his eyes that we all do, but also that dog-eat-dog determination to prove to the world that he could do the job. The Rainmaker was more about the performances than the story. And the performances won me over. Give it a shot, it&#39;s worth it.",John Grisham,3.94,419,151818,9/27/05,Delta
Murder on the Orient Express,tt3402236,2017,PG-13,1h 54m,6.5,310000,"This movie was clearly made for a modern audience with no familiarity with Agatha Christie&#39;s work. Branagh&#39;s portrayal of the legendary Belgian detective Hercule Poirot bares only a passing resemblance to the source material with an inconsistent accent, the wrong mustache, and only some of his iconic quirks and mannerisms. That being said, it is a decent mystery that follows the plot of the story pretty well and it would probably be enjoyable to people seeing the story for the first time and having no preconceived notions of what Poirot should be.A strong supporting cast featuring Michelle Pfeiffer, Daisy Ridley, Johnny Depp, Willem Dafoe, Judi Dench, Penelope Cruz, and many other familiar faces performs well. However, no one stands out in the way Ingrid Bergman did in the 1974 adaptation or Jessica Chastain in the 2010 version.There were also several semi-action moments that were incredibly out of character for Poirot, yet provided no actual excitement to justify the sudden stylistic change. The ending hints at Death on the Nile being the next mystery for this detective masquerading as Poirot to tackle, but Poirot should not be summoned to solve a murder, he simply stumbles upon them whenever he goes on vacation.",Agatha Christie,4.17,322,145660,8/31/04,Berkley
Crooked House,tt1869347,2017,PG-13,1h 55m,6.3,29000,"As a Christie fan who was not familiar with this particular story, this feels much bleaker than the average novel by Dame Agatha.It&#39;s a competent whodunit, well-cast, well-performed. The second act feels a little slow, all the more because nearly every character is sour, bitter and miserable; they lack a certain variety in tone which could have made the dialogue more lively.Still, it&#39;s a solid effort and I was genuinely surprised by the denouement, which I won&#39;t spoil.6,5/10",Agatha Christie,4.04,276,24849,8/19/02,Minotaur Books
1984,tt0048918,1956,Not Rated,1h 30m,6.9,4500,"I saw the movie once back in 1968 or so and thought it was great. Don&#39;t know how I&#39;d view it now but I have never had any desire to see the remake. The fact that the movie is in black and white still leaves a very visual impression of the stark, bare lives people like Winston Smith led. No color in their lives and certainly no color in their thoughts was the order of their day. I think the film captured that along with the idea that their technology available was also unenlightening. It served only one purpose and that was to control. I don&#39;t think I would be as impressed if the movie were made today. Our technology is too sophisticated. In the original version, less is more.",George Orwell/Erich Fromm,4.18,268,1322,7/1/81,Signet Classics
City of God,tt0317248,2002,R,2h 10m,8.6,836000,"Cidade de Deus seems to have a lot of praise on the IMDb boards, and with good reason too. It simply is, in my opinion, one of the best contemporary films ever made.Based on true events and characters who live in the overlooked and poverty stricken slums in the shadows of Rio de Janiero, where life expectancy doesn&#39;t reach the 30&#39;s and drug dealers are kings.The tale of the City of God, and its myriad of characters is told by Rocket, a young man who struggles to make something of his life, other than to wind up another victim of drugs or gang wars.Not only are the characters in City of God absolutely fascinating, and also very endearing, but also convincingly acted by groups of young and unknown actors. The stoies are well-told, and at times, funny, and at others, brutally shocking.The cinematic style of the film gives a nod to Tarantino, with some clever time-jumping, freeze-framing, and texts indicating another chapter of the film. In every sense, a bit of a Brazillian &quot;Pulp Fiction&quot; or &quot;Goodfellas&quot;, but with its own unique flavour to it.The City of God is a marvel, and a highly recommended film to watch, but not recommended for the over-sensitive or easily distressed.",Augustine of Hippo/Henry Bettenson,3.92,1186,8754,11/27/03,Penguin Books Ltd
Misery,tt0100157,1990,R,1h 47m,7.8,250000,"Misery is without a doubt one of the finest movies of the 90&#39;s and one of the best movies in the thriller genre. It is an ingeniously crafted horror masterpiece that seamlessly intertwines its incredibly tense and cleverly paced story with inventive cinematography, tight editing and exquisite performances. In my opinion Misery is one of the better adaptations of Stephen King&#39;s works and truly a movie that cannot be missed, especially for the genre fans.Paul Sheldon (James Caan) is the author of a successful series of romance novels about a character called Misery, who decides to take a more serious approach regarding his future novels. On his way to publish his new manuscript, Paul drives from his hotel in Silver Creek to New York. Due to the extreme weather conditions, he has an accident that leaves him severely injured and hopeless. A local nurse named Annie Wilkes (Kathy Bates) finds Paul and brings him to her remote home in order to help him recover. Claiming to be his number one fan, Annie discovers that in his last Misery novel her favorite character dies and then her obsession about him takes a dark and twisted turn as a long story of captivity and abuse begins.The direction by Rob Reiner is phenomenal and on a Hitchcockian level as the film has a plethora of perfectly crafted suspenseful moments that have the audience on the edge of their seats from the beginning till the amazing climax. The editing of the movie is also flawless, as the shots are specifically designed to induce tension in any moment they can. The cinematographer and Reiner both ace the perilous atmosphere of the picture, using close up shots of the moonfaced Wilkes both in her fits of rage and kindness which magnifies the polar extremes that Wilkes is prone to unexpectedly visit. What is also triumphed is the slow convergence of the audience and Paul Sheldon. The movie received a lot of critical acclaim, especially due to Kathy Bates&#39; chilling and memorable performance as Anny Wilkes that earned her the 1990&#39;s leading actress Oscar award, which remains the only Oscar ever given to a Stephen King film adaptation. No matter how great Kathy Bates&#39; Oscar-winning performance is, James Caan&#39;s cannot go unnoticed as it definitely qualifies as one of the best performances in his extensive career, despite how demanding and challenging his role as Paul Sheldon was.In conclusion, Misery is a dark and tense masterpiece that is an amalgamation of excellent direction, skillful writing, taut editing, amazing cinematography and stellar performances, which succeeds into creating the feeling of captivity and helplessness that the thriller genre was purposefully built for, and that makes it one of the best movies of the 90&#39;s and one absolute classic in its genre.",Stephen King,4.16,370,429510,11/1/88,New English Library
